TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
os_hr_employee_extended	idx_is_field	is_field_staff	1
os_hr_employee_extended	PRIMARY	id	0
os_hr_employee_extended	uk_user_id	user_id	0
os_hr_employee_salary	idx_component	component_id	1
os_hr_employee_salary	idx_user_id	user_id	1
os_hr_employee_salary	PRIMARY	id	0
os_hr_evaluation	idx_evaluator	evaluator_id	1
os_hr_evaluation	idx_user_id	user_id	1
os_hr_evaluation	PRIMARY	id	0
os_hr_evaluation_score	idx_evaluation	evaluation_id	1
os_hr_evaluation_score	PRIMARY	id	0
os_hr_field_config	PRIMARY	id	0
os_hr_field_consent	idx_user_id	user_id	1
os_hr_field_consent	PRIMARY	id	0
os_hr_field_event	idx_session	session_id	1
os_hr_field_event	idx_task	task_id	1
os_hr_field_event	idx_user_id	user_id	1
os_hr_field_event	PRIMARY	id	0
os_hr_field_session	idx_started	started_at	1
os_hr_field_session	idx_user_id	user_id	1
os_hr_field_session	PRIMARY	id	0
os_hr_field_task	idx_assigned	assigned_to	1
os_hr_field_task	idx_due_date	due_date	1
os_hr_field_task	idx_status	status	1
os_hr_field_task	PRIMARY	id	0
os_hr_geofence_event	idx_ge_unprocessed	processed	1
os_hr_geofence_event	idx_ge_unprocessed	triggered_at	1
os_hr_geofence_event	idx_ge_user_time	user_id	1
os_hr_geofence_event	idx_ge_user_time	triggered_at	1
os_hr_geofence_event	idx_ge_zone	zone_id	1
os_hr_geofence_event	idx_ge_zone	triggered_at	1
os_hr_geofence_event	PRIMARY	id	0
os_hr_grade	PRIMARY	id	0
os_hr_kpi_item	idx_template	template_id	1
os_hr_kpi_item	PRIMARY	id	0
os_hr_kpi_template	PRIMARY	id	0
os_hr_loan	idx_status	status	1
os_hr_loan	idx_user_id	user_id	1
os_hr_loan	PRIMARY	id	0
os_hr_location_point	idx_session	session_id	1
os_hr_location_point	idx_user_captured	user_id	1
os_hr_location_point	idx_user_captured	captured_at	1
os_hr_location_point	PRIMARY	id	0
os_hr_payroll_run	idx_status	status	1
os_hr_payroll_run	PRIMARY	id	0
os_hr_payslip	idx_payroll_run	payroll_run_id	1
os_hr_payslip	idx_user_id	user_id	1
os_hr_payslip	PRIMARY	id	0
os_hr_payslip_line	idx_payslip	payslip_id	1
os_hr_payslip_line	PRIMARY	id	0
os_hr_salary_component	PRIMARY	id	0
os_hr_salary_component	uk_code	code	0
os_hr_tracking_point	idx_tp_session	session_id	1
os_hr_tracking_point	idx_tp_session	captured_at	1
os_hr_tracking_point	idx_tp_user_time	user_id	1
os_hr_tracking_point	idx_tp_user_time	captured_at	1
os_hr_tracking_point	PRIMARY	id	0
os_hr_work_zone	idx_wz_company	company_id	1
os_hr_work_zone	idx_wz_location	latitude	1
os_hr_work_zone	idx_wz_location	longitude	1
os_hr_work_zone	PRIMARY	id	0
os_ImageManager	id	id	1
os_ImageManager	idx_customer_id	customer_id	1
os_ImageManager	PRIMARY	id	0
os_income	idx-income-contract	contract_id	1
os_income	idx_income_contract_date	contract_id	1
os_income	idx_income_contract_date	date	1
os_income	idx_income_contract_type	contract_id	1
os_income	idx_income_contract_type	type	1
os_income	income_primary_by_idx	_by	1
os_income	income_primary_contract_id_idx	contract_id	1
os_income	income_primary_created_by_idx	created_by	1
os_income	income_primary_payment_type_idx	payment_type	1
os_income	income_primary_type_idx	type	1
os_income	PRIMARY	id	0
os_income_category	fk_income_category_created_by	created_by	1
os_income_category	index_income_category_id	id	1
os_income_category	PRIMARY	id	0
os_inventory_invoices	fk_inventory_invoices_branch_id	branch_id	1
os_inventory_invoices	PRIMARY	id	0
os_inventory_items	id	id	1
os_inventory_items	idx-inv_items-status_del	status	1
os_inventory_items	idx-inv_items-status_del	is_deleted	1
os_inventory_items	idx-inv_items-supplier	supplier_id	1
os_inventory_items	idx_items_category	category	1
os_inventory_items	idx_items_status	status	1
os_inventory_items	idx_items_supplier	supplier_id	1
os_inventory_items	PRIMARY	id	0
os_inventory_item_quantities	id	id	1
os_inventory_item_quantities	PRIMARY	id	0
os_inventory_serial_numbers	idx-serial-contract_status	contract_id	1
os_inventory_serial_numbers	idx-serial-contract_status	status	1
os_inventory_serial_numbers	idx-serial-item_del_company	item_id	1
os_inventory_serial_numbers	idx-serial-item_del_company	is_deleted	1
os_inventory_serial_numbers	idx-serial-item_del_company	company_id	1
os_inventory_serial_numbers	idx-serial-status_del	status	1
os_inventory_serial_numbers	idx-serial-status_del	is_deleted	1
os_inventory_serial_numbers	idx_contract	company_id	1
os_inventory_serial_numbers	idx_contract	contract_id	1
